1,Bemowo,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/bemowo/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=36,1994-01-01,1951-05-14,24.95,125119,5015,1,Powstańców Śląskich,70,01-381,https://www.bemowo.waw.pl/
2,Białołęka,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/bialoleka/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=37,,,73.04,129106,1769,1,Modlińska,197,03-122,http://www.bialoleka.waw.pl/
3,Bielany,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/bielany/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=38,,,32.34,131592,4069,1,S. Żeromskiego,29,01-882,http://www.bielany.waw.pl/page/
4,Centrum,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/centrum/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=3319,,,,,,1,Nowogrodzka,43,00-691,https://srodmiescie.warszawa.pl/
5,Metro Wilanowska,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/metro-wilanowska/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=12721,,,,,,1,Rakowiecka,25/27,02-517,http://mokotow.waw.pl/
6,Mokotów,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/mokotow/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=39,1367-01-01,1916-04-01,35.42,218265,6162,1,Rakowiecka,25/27,02-517,http://mokotow.waw.pl/
7,Ochota,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/ochota/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=40,,,9.72,82484,8486,1,Grójecka,17a,02-021,http://www.urzadochota.waw.pl/
8,Praga-Południe,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/praga-poludnie/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=41,,,22.38,180789,8078,0,Grochowska,274,03-841,https://www.pragapld.waw.pl/
9,Praga-Północ,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/praga-polnoc/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=42,,,11.42,63481,5559,0,Ks. I. Kłopotowskiego,15,03-708,http://www.praga-pn.waw.pl/page/
10,Rembertów,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/rembertow/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=43,,1957-01-01,19.3,24513,1270,0,gen. A. Chruściela "Montera",28,04-401,http://www.rembertow.waw.pl/
11,Śródmieście,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/srodmiescie/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=44,,,15.57,113713,7303,1,Nowogrodzka,43,00-691,https://srodmiescie.warszawa.pl/
12,Targówek,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/targowek/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=45,,1951-05-15,24.22,124992,5161,0,Kondratowicza,20,00-983,http://www.targowek.waw.pl/page/
13,Ursus,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/ursus/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=46,,1977-08-01,9.36,61312,6550,1,pl. Czerwca 1976 r.,1,02-495,https://www.ursus.warszawa.pl/index.php
14,Ursynów,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/ursynow/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=47,,1951-05-14,43.79,151304,3455,1,al. KEN,61,02-777,http://ursynow.pl/
15,Wawer,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/wawer/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=48,,1951-01-01,79.7,78244,982,0,Żegańska,1,04-713,http://wawer.warszawa.pl/pl
16,Wesoła,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/wesola/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=49,,2002-01-01,22.94,25798,1125,0,1 Praskiego Pułku,33,05-075,http://www.wesola.waw.pl/
17,Wilanów,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/wilanow/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=50,,1951-05-14,36.73,42134,1147,1,Franciszka Klimczaka,2,02-797,https://www.wilanow.pl/
18,Włochy,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/wlochy/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=51,,1951-01-01,28.63,43613,1523,1,al. Krakowska ,257,02-133,http://www.ud-wlochy.waw.pl/page/
19,Wola,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/wola/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=117,,,19.26,141407,7342,1,al. Solidarności,90,01-003,https://wola.waw.pl/
20,Żoliborz,https://www.otodom.pl/sprzedaz/mieszkanie/warszawa/zoliborz/?search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&search%5Bdistrict_id%5D=53,,,8.47,52792,6233,1,Słowackiego,6/8,01-627,http://www.zoliborz.org.pl/
